# NCBI Primer-BLAST DISLAMA HARITASI  (2026-08-10)
# Neden: genel organizma kisitiyla (Bacteria OR Archaea OR Fungi)
# Primer-BLAST bulunan HER urunu "target templates" hanesine koyuyor,
# "unintended" bolumu bos kaliyor. 22 sayfanin 22'sinde olculdu.
# Cozum: hedefin KENDI taksonunu ENTREZ_QUERY ile disla; o zaman
# kalan her urun tanimi geregi hedef disidir.
# Bos taxid = dislama uygulanmaz ve o hedef SINANMADI yazilir.
# Birden cok taxid virgulle yazilir: her biri ayri bir NOT terimi olur.
# EVRENSEL primerlerde de dislama YAPILIR: alani disla, kalan her urun
# gercek hedef disidir (bakteri primerinin kloroplast tutmasi gibi).
# ANAHTARLAR SIPARIS_LISTESI.tsv icindeki hedef adiyla BIREBIR ayni olmali;
# tutmayan anahtar sessizce SINANMADI uretir (2026-08-10 iki tanesinde oldu).
# TAXID'LER NCBI Taxonomy'den DOGRULANDI (2026-08-10).
# KURAL: dislanacak takson hedefin ADINA gore degil, OLCULEN KIMLIGE gore
# secilir ve olculen kimligi ICEREN en dar taksona cikilir. Ad ile olculen
# kimlik bu projede 100 kutunun 78'inde ayrisiyor; adi esas almak hedefin
# kendisini dislamamaya ve kendi vuruslarini hedef disi saymaya yol acar.
hedef	taxid	gerekce
Methanothrix_cinsi	2222	Methanothrix cinsi, NCBI Taxonomy
Methanothrix_soehngenii_turu	2223,2222	M. soehngenii (2223) + Methanothrix CINSI (2222). Uye kutularin ucu de olculende yalniz CINS duzeyine cozuluyor ("Methanothrix"), tur adi cikmiyor. Yalniz 2223 dislansaydi hedefin kendi kutulari hedef disi sayilirdi. Bedeli: bu katman baska bir Methanothrix turunu ayirt EDEMEZ; tur duzeyi ayrimi katman 2-3 olcer.
Methanosarcina_cinsi	2207	Methanosarcina cinsi, NCBI Taxonomy
Methanosarcina mazei / M. soligelidi grubu	2209,1036677,2213	M. mazei + M. soligelidi + "Methanosarcina sp." dugumu (2213): bir uye kutu olculende yalniz cins duzeyine cozuluyor. M. mazei 2209 + M. soligelidi 1036677 - cift bu IKI turu birlikte hedefliyor, ikisi de dislanir. Cins (2207) dislanmaz: baska bir Methanosarcina turunu tutmasi HEDEF DISIDIR ve gorunmelidir.
Metilotrofik_metanojen	1080709,1577788	Methanomassiliicoccus cinsi (1080709) + Methanomassiliicoccaceae AILESI (1577788). Uye kutunun olculen kimligi aile duzeyinde kaliyor. Methanomassiliicoccus CINSI - olculen kimlik adlandirilamayan soy (%99,23). Tur yerine cins, cunku ad kesin degil.
Nitrosocosmicus_AOA	1826864	Ca. Nitrosocosmicus CINSI - olculen kimlik "Nitrocosmicus cf. oleophi", tur degil. ESKI 1826872 (hydrocola TURU) farkli bir turu dislardi.
Proteolitik_Synergistaceae (eski ad: Proteolitik_Cloacibacillus)	649777	Synergistaceae AILESI - olculen kimlik adlandirilamayan Synergistaceae. ESKI 1197717 (Cloacibacillus porcorum TURU) hedefi dislamazdi.
Proteolitik_Cloacimonas	112	Planctomycetales takimi - OLCULEN kimlik "Planctomycetales bacterium". ESKI 456827 (Ca. Cloacimonas) YANLISTI: Kraken ADINA gore secilmisti, hedefin kendisi dislanmaz ve kendi vuruslari hedef disi sayilirdi.
Sakarolitik_Sphaerochaeta	399320	Sphaerochaeta CINSI - olculen kimlik adlandirilamayan soy (%95,49). Tur yerine cins.
Petrimonas_cinsi	307628,294702	Petrimonas (307628) + Proteiniphilum (294702). OLCULDU: uc uye kutunun ikisi "adlandirilamayan soy", en yakin kayitlarinin soyu Proteiniphilum ile bitiyor; yalnizca biri "Petrimonas sp." cikiyor. Kraken'in Petrimonas/Proteiniphilum ayrimi bu numunede tek bir adlandirilmamis Bacteroidales soyuna karsilik geliyor - "Proteiniphilum_cinsi hedefi numunede yok" hukmuyle de tutarli. Ikisi birlikte dislanir.
