taxid,kaynak,esik_ad,esik_oran,genis_ad,genis_oran,hiz_ad,hiz_sonuc,hiz_baz,hiz_ref,esikle_coktu,senaryo
214856,Alistipes finegoldii,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
28116,Bacteroides ovatus,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
818,Bacteroides thetaiotaomicron,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2233851,Blastochloris tepida,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
456827,Ca. Cloacimonas acidaminovorans,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
1406512,Ca. Methanomassiliicoccus intestinalis,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
1826872,Ca. Nitrosocosmicus hydrocola,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2740404,Ca. Sulfurimonas baltica,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
1197717,Cloacibacillus porcorum,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
80884,Colletotrichum higginsianum,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
500148,Cyrtohymena siliat,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
40559,Helotiales askomikot,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
224719,Methanobrevibacter sp. AbM4,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
83984,Methanocorpusculum labreanum,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
83986,Methanoculleus bourgensis,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
118126,Methanoculleus chikugoensis,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
394967,Methanoculleus receptaculi,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2201,Methanofollis liminatans,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2208,Methanosarcina barkeri,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
3078083,Methanosarcina hadiensis,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2209,Methanosarcina mazei,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
1434102,Methanosarcina sp. WH1,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2210,Methanosarcina thermophila,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2223,Methanothrix soehngenii,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
101201,Microascaceae askomikot,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2954507,Oceanobacillus sp.,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
1642646,Petrimonas mucosa,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
285070,Petrimonas sulfuriphila,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2093779,Podospora pseudocomata,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2093780,Podospora pseudopauciseta,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2829812,Proteiniphilum propionicum,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
1642647,Proteiniphilum saccharofermentans,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
1760811,Pseudodifflugia amip,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
456999,Rhizoctonia solani,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2545709,Schizosaccharomyces osmophilus,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
4896,Schizosaccharomyces pombe,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
1129264,Sphaerochaeta associata,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
5811,Toxoplasma gondii,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
63577,Trichoderma atroviride,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
2034170,Trichoderma breve,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
181762,Tulosesus callinus,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
1159556,Ustilaginoidea virens,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
5855,Vampyrellid amip,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
44689,Zoopagomycota mantari,,0.0,,0.0,,,,,olculmedi,PlusPFP karar vermedi
