# THE TARGET CLADE TABLE: the ONE thing needed to say whether an off target
# amplicon came from INSIDE the target or from OUTSIDE it.
#
# WHY IT EXISTS (2026-08-07): MFEprimer's "off target" measure rests ON LENGTH
# ALONE. Of the 1,550 differently sized amplicons a universal bacterial primer
# found, 1,519 begin with "Bacteria;..." in SILVA, that is they are INSIDE the
# target and are the natural length polymorphism of 16S. Put into the verdict,
# the raw count made that pair come out risky. This table makes the distinction
# measurable.
#
# The columns:
#   hedef   the target name exactly as it stands in the panel and the order list
#   alan    Bacteria | Archaea | Eukaryota, the FIRST token of the SILVA string.
#           Class (b) is the same domain outside the clade; (c) is a different
#           domain.
#   klad    a comma separated token list. When ONE OF THESE occurs in the
#           amplicon's taxonomy string, the amplicon counts as INSIDE the target.
#   kaynak  WHERE those tokens came from, so the table can be audited
hedef	alan	klad	kaynak
Bakteri_universal	Bacteria	Bacteria	targets.tsv decision 4, level 'domain': every taxon in class B
Arke_universal	Archaea	Archaea	targets.tsv decision 4, level 'domain': every taxon in classes A1 and A2
Mantar_universal (F1)	Eukaryota	Fungi	targets.tsv decision 4: class F, bacteria and Apicomplexa excluded; the membership table excludes Dictyostelium (Amoebozoa), Plasmodium and Toxoplasma
Mantar_universal (F2)	Eukaryota	Fungi	the same row, for the F2 barcode class
Methanothrix_cinsi	Archaea	Methanothrix	the membership table gives member 2223 = Methanothrix soehngenii, level 'genus'
Methanothrix_soehngenii_turu	Archaea	Methanothrix	member 2223, level 'species'; SILVA does not separate below species, so the genus token is used
Methanosarcina_cinsi	Archaea	Methanosarcina	members 2209, 2208, 2210, 1434102 and 3078083, so the genus Methanosarcina
Methanosarcina mazei / M. soligelidi grubu	Archaea	Methanosarcina	member 2209, level 'species'; SILVA does not separate below species, so the genus token is used
Petrimonas_cinsi	Bacteria	Petrimonas	members 1642646 and 285070, so the genus Petrimonas
Proteiniphilum_cinsi	Bacteria	Proteiniphilum	members 2829812 and 1642647, so the genus Proteiniphilum
Sakarolitik_Sphaerochaeta	Bacteria	Sphaerochaeta	member 1129264 = Sphaerochaeta associata
Petriella_cinsi	Eukaryota	Petriella,Microascaceae	the target name is the genus Petriella; its family in SILVA and RefSeq is Microascaceae
Petriella_musispora	Eukaryota	Petriella,Microascaceae	the target name; level 'genus, read as class' (decision 18 in the taxon mapping)
Microascaceae_askomikot	Eukaryota	Microascaceae	the target name, level 'family' (decision 14)
Metanomikrobiyales_hidrojenotrof	Archaea	Methanomicrobiales	the membership note: Methanomicrobiales, that is Methanoculleus, Methanocorpusculum and Methanofollis
Proteolitik_Synergistaceae (formerly Proteolitik_Cloacibacillus)	Bacteria	Synergistaceae,Synergistota	the target name plus the note: an unnameable Synergistaceae
Bacteroidales_kumesi	Bacteria	Bacteroidales	the target name plus the note: the order Bacteroidales
Asetoklastik_metanojenler	Archaea	Methanosarcinales	the membership note: Methanosarcina and Methanothrix, so the order they share
Proteolitik_Cloacimonas	Bacteria	Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,Cloacimonas	the note: Ca. Cloacimonas ONLY, so every rank name it carries in SILVA
Nitrosocosmicus_AOA	Archaea	Nitrosocosmicus,Nitrososphaeraceae	member 1826872 = Ca. Nitrosocosmicus hydrocola, which sits under Nitrososphaeraceae in SILVA
Metilotrofik_metanojen	Archaea	Methanomassiliicoccus,Methanomassiliicoccales	member 1406512 = Ca. Methanomassiliicoccus intestinalis
Metanojen_universal	Archaea	Methanosarcina,Methanothrix,Methanoculleus,Methanocorpusculum,Methanofollis,Methanobrevibacter,Methanomassiliicoccus,Methanosarcinales,Methanomicrobiales,Methanobacteriales,Methanomassiliicoccales,Methanosaetaceae,Methanosarcinaceae,Methanocellales,Methanococcales,Methanopyrales,Methanonatronarchaeales,Methanofastidiosales,Methanomethyliales,Methanoliparia	the 7 genera of the 13 member taxids (Methanosarcina, Methanothrix, Methanoculleus, Methanocorpusculum, Methanofollis, Methanobrevibacter, Methanomassiliicoccus) plus the SILVA order and family names of those genera plus the other methanogen orders in SILVA. The last part was added by an independent audit on 2026-08-07: the earlier list missed 5 orders, though the effect on that run was 0. The level, 'a functional group', comes from the decision dictionary in screening/target_taxon_mapping.py; this target IS NOT in steps/targets.tsv.
