# THE TARGET MEMBERSHIP TABLE: the one source of membership the screening tool
# uses.
#
# THIS FILE CAN BE EDITED BY HAND. If a target's member and competitor bins are
# wrong, every separation ratio comes out wrong. For every target the tool also
# measures the pair ALREADY in the panel with the same engine and compares it
# against the panel's published value; on a large divergence it prints a WARNING
# on the screen, and this file is the first place to look when it does.
#
# The columns:
#   hedef      the target name exactly as it stands in the panel
#   uye_taxid  a comma separated taxid list. "*A1", "*A2", "*B", "*F1" and "*F2"
#              mean every bin in that amplicon class. "KUTU:F2-1_500148" means
#              ONE SINGLE BIN, and once KUTU: appears on a row the membership is
#              read bin by bin AND NO LONGER BY TAXID.
#              WHY: a taxid is not enough to express membership. F2-1_500148,
#              F2-2_500148 and F2-4_500148 carry the same Kraken taxid while
#              their measured identities are Petriella setifera, Petriella
#              setifera, and "an unnameable lineage whose nearest record is
#              Lomentospora". Membership written by taxid counts all three as
#              members, but the third is a COMPETITOR and it is exactly the one
#              that drops the Petriella genus pair, at 1655 of 3000 reads.
#              The rule: MEMBERSHIP GOES BY THE MEASURED IDENTITY, NOT by the
#              label.
#   haric      counted as neither a member nor a competitor: a close relative
#              deliberately left outside. The "KUTU:" prefix can be used here too.
#   kaynak     PANEL means it is written explicitly in targets.tsv.
#              TURETILDI means it was derived from the target name and
#              taxid_names.tsv, so CHECK IT.
#   not        a free note
hedef	uye_taxid	haric	kaynak	not
Metanojen_universal	2209,2223,2208,2210,1434102,3078083,394967,83986,118126,83984,224719,2201,1406512		TURETILDI	Every methanogen; Nitrosocosmicus (1826872) is a competitor. The panel says 13 of 14 bins with Ca. Methanomassiliicoccus excluded, and 33 of 34 of the methanogen bins.
Methanothrix_cinsi	2223		PANEL	Genus level; there is one Methanothrix taxid in the sample.
Petrimonas_cinsi	1642646,285070		PANEL	targets.tsv decision 2
Metanomikrobiyales_hidrojenotrof	394967,83986,118126,83984,2201	224719	TURETILDI	Methanomicrobiales: Methanoculleus, Methanocorpusculum and Methanofollis. Methanobrevibacter (224719) belongs to Methanobacteriales and is EXCLUDED. The panel says 13 of 13 Methanomicrobiales.
Mantar_universal (F1)	*F1		OLCULEN KIMLIK	A CORRECTION on 2026-08-11: the excluded column held 44689 (Dictyostelium) and its reason was THE KRAKEN LABEL, the very thing this project decided not to trust. The measurement says the opposite: F1-1_44689 is Zoopagomycota_gen_Incertae_sedis sp. at genus level and 100 per cent, F1-2_44689 and F1-3_44689 are an unnameable lineage whose nearest record EU825622 is Opisthokonta > Nucletmycea at 96.70 per cent, and F1-4_44689 is an unnameable lineage whose nearest record JX974768 sits in the same clade at 67.08 per cent. All four are on the fungal side and not one is Amoebozoa; three of them are amplified by the universal pair as well (1775 of 2118, 879 of 1086, 2460 of 3000). So excluding them was wrong and the single protocol counting them as members was right.
Methanosarcina_cinsi	2209,2208,2210,1434102,3078083		TURETILDI	The five Methanosarcina taxids in the sample.
Metilotrofik_metanojen	1406512		PANEL	targets.tsv decision 3, one member
Nitrosocosmicus_AOA	1826872		PANEL	targets.tsv decision 3
Proteiniphilum_cinsi	2829812,1642647		PANEL	targets.tsv decision 2
Proteolitik_Synergistaceae (eski ad: Proteolitik_Cloacibacillus)	1197717		PANEL	targets.tsv decision 5; the organism in the sample is an unnameable Synergistaceae.
Bacteroidales_kumesi	818,28116,214856,1642646,285070,2829812,1642647,1760811		TURETILDI	The order Bacteroidales: Bacteroides, Alistipes, Petrimonas, Proteiniphilum, Fermentimonas and Acetobacteroides.
Mantar_universal (F2)	*F2	KUTU:F2-2_1760811,KUTU:F2-3_1760811,KUTU:F2-3_5855,KUTU:F2-4_5811	OLCULEN KIMLIK	On 2026-08-11: the excluded column had been written by taxid and is now written bin by bin, by MEASURED identity: F2-2_1760811 and F2-3_1760811 are Cercozoa (Rhizaria, Ventricleftida), F2-3_5855 is Cercozoa (Endomyxa, Vampyrellida), and F2-4_5811 is Cyrtohymena cf. torrenticola, a ciliate. All four are protists and not fungi, so they count as neither a member nor a competitor of the universal fungal pair. The Kraken labels (Plasmodium, Toxoplasma, Acetobacteroides) do not hold and the measurement was taken instead.
Microascaceae_askomikot	KUTU:F2-1_101201,KUTU:F2-1_2034170,KUTU:F2-1_500148,KUTU:F2-2_101201,KUTU:F2-2_500148,KUTU:F2-3_101201,KUTU:F2-4_101201,KUTU:F2-4_2034170,KUTU:F2-4_500148		OLCULEN KIMLIK	A CORRECTION on 2026-08-11: the earlier version held 101201 alone and saw four bins, while the 2034170 and 500148 bins that measure as Petriella setifera are Microascaceae too. Because this is a family level target, "an unnameable lineage whose nearest record is Lomentospora" (F2-4_500148) IS A MEMBER as well, since Lomentospora sits inside Microascaceae. It is exactly the same as the single protocol's list of nine bins.
Sakarolitik_Sphaerochaeta	1129264		PANEL	targets.tsv decision 5
Asetoklastik_metanojenler	2209,2223,2208,2210,1434102,3078083		PANEL	targets.tsv decision 3
Bakteri_universal	*B		PANEL	targets.tsv decision 4
Petriella_musispora	KUTU:F2-1_101201,KUTU:F2-1_2034170,KUTU:F2-1_500148,KUTU:F2-2_101201,KUTU:F2-2_500148,KUTU:F2-3_101201,KUTU:F2-4_101201,KUTU:F2-4_2034170,KUTU:F2-4_500148		OLCULEN KIMLIK	A CORRECTION on 2026-08-11: the earlier version was 101201, 2034170 and 63577 and counted the 63577 bins as members; the measured identity of those four bins is Microascus sp., Lomentospora sp. twice and Graphium sp., not one of them Petriella and three separate genera. On top of that the real Petriella setifera bins (500148) had been left OUT of the membership. The ordered figure of 8.32x was produced with the single protocol's nine bin membership, and this list was made exactly the same as that one.
Proteolitik_Cloacimonas	456827		TURETILDI	Ca. Cloacimonas ONLY. This name is not in targets.tsv, and using the group row (Proteolitik_sintrofik_bakteriler) instead makes the member coverage come out wrong: the panel reports this pair over one bin alone, at 78.5 per cent member support.
Arke_universal	*A1,*A2		PANEL	targets.tsv decision 4
Methanothrix_soehngenii_turu	2223		PANEL	targets.tsv decision 1
Methanosarcina mazei / M. soligelidi grubu	2209		PANEL	targets.tsv decision 1; the organism cannot be separated from M. soligelidi by 16S.
Proteolitik_Synergistaceae	1197717		PANEL	On 2026-08-09: pairs.tsv writes this target under the SHORT name while this file held only the LONG one, and because the name normalisation did not match them the cross-check produced a missing membership row finding. The member set is EXACTLY THE SAME as the long named row; this is not a new target.
Methanosarcina_mazei_turu	2209		PANEL	On 2026-08-09: pairs.tsv writes this target as "Methanosarcina_mazei_turu" while this file held only "Methanosarcina mazei / M. soligelidi grubu". The member set is EXACTLY THE SAME as that row, taxid 2209; this is not a new target. The organism cannot be separated from M. soligelidi by 16S.
