# THE NCBI PRIMER-BLAST EXCLUSION MAP  (2026-08-10)
#
# Why: with a general organism restriction (Bacteria OR Archaea OR Fungi),
# Primer-BLAST puts EVERY product it finds into the "target templates" column and
# leaves the "unintended" section empty. That was measured on all 22 pages.
# The fix: exclude the target's OWN taxon through the Entrez query, and then
# every product that remains is off target by definition.
#
# An empty taxid means no exclusion is applied and that target is written down as
# NOT TESTED. More than one taxid is written comma separated and each becomes its
# own NOT term.
#
# The exclusion IS APPLIED to universal primers too: exclude the domain, and every
# product that remains is a real off target one, such as a bacterial primer
# catching a chloroplast.
#
# THE KEYS have to match the target name in the order list EXACTLY; a key that
# does not match silently produces NOT TESTED, which happened to two of them on
# 2026-08-10. THE TAXIDS WERE CONFIRMED against NCBI Taxonomy on 2026-08-10.
#
# THE RULE: the taxon to exclude is chosen by the MEASURED IDENTITY and not by
# the target's NAME, and it is widened to the narrowest taxon that CONTAINS the
# measured identity. In this project the name and the measured identity diverge
# in 78 of 100 bins, so going by the name would leave the target itself
# unexcluded and count its own hits as off target.
hedef	taxid	gerekce
Methanothrix_cinsi	2222	the genus Methanothrix, NCBI Taxonomy
Methanothrix_soehngenii_turu	2223,2222	M. soehngenii (2223) plus the GENUS Methanothrix (2222). All three member bins resolve only to GENUS level when measured, giving "Methanothrix" and no species name. Excluding 2223 alone would have counted the target's own bins as off target. The cost: this layer CANNOT tell another Methanothrix species apart; species level separation is measured by layers 2 and 3.
Methanosarcina_cinsi	2207	the genus Methanosarcina, NCBI Taxonomy
Methanosarcina mazei / M. soligelidi grubu	2209,1036677,2213	M. mazei plus M. soligelidi plus the "Methanosarcina sp." node (2213): one member bin resolves only to genus level when measured. The pair targets BOTH species, 2209 and 1036677, so both are excluded. The genus (2207) is NOT excluded: catching another Methanosarcina species IS OFF TARGET and has to stay visible.
Metilotrofik_metanojen	1080709,1577788	The genus Methanomassiliicoccus (1080709) plus the FAMILY Methanomassiliicoccaceae (1577788). The member bin's measured identity stops at family level; at genus level the measured identity is an unnameable lineage at 99.23 per cent. The genus is used rather than the species, because the name is not certain.
Nitrosocosmicus_AOA	1826864	The GENUS Ca. Nitrosocosmicus: the measured identity is "Nitrocosmicus cf. oleophi", which is not a species. The old value 1826872, the species hydrocola, would have excluded a different species.
Proteolitik_Synergistaceae (formerly Proteolitik_Cloacibacillus)	649777	The FAMILY Synergistaceae: the measured identity is an unnameable Synergistaceae. The old value 1197717, the species Cloacibacillus porcorum, would not have excluded the target at all.
Proteolitik_Cloacimonas	112	The order Planctomycetales: the MEASURED identity is "Planctomycetales bacterium". The old value 456827, Ca. Cloacimonas, WAS WRONG: it had been chosen by Kraken's NAME, so the target itself went unexcluded and its own hits counted as off target.
Sakarolitik_Sphaerochaeta	399320	The GENUS Sphaerochaeta: the measured identity is an unnameable lineage at 95.49 per cent. The genus is used rather than the species.
Petrimonas_cinsi	307628,294702	Petrimonas (307628) plus Proteiniphilum (294702). MEASURED: two of the three member bins are an "unnameable lineage" whose nearest records end in Proteiniphilum, and only one comes out as "Petrimonas sp.". In this sample Kraken's Petrimonas against Proteiniphilum distinction corresponds to a single unnamed Bacteroidales lineage, which is also consistent with the verdict that the Proteiniphilum genus target is not in the sample. Both are excluded together.
Proteiniphilum_cinsi	294702	the genus Proteiniphilum, NCBI Taxonomy
Bacteroidales_kumesi	171549	the order Bacteroidales, NCBI Taxonomy
Microascaceae_askomikot	5593	the family Microascaceae, CONFIRMED on 2026-08-10 (34468 is not valid)
Petriella_musispora	42313	the genus Petriella, CONFIRMED on 2026-08-10 (69605 WAS WRONG: a bacteriophage)
Petriella_cinsi	42313	the genus Petriella, CONFIRMED on 2026-08-10 (69605 WAS WRONG: Enterobacteria phage FSalpha)
Metanomikrobiyales_hidrojenotrof	2191	the order Methanomicrobiales, NCBI Taxonomy
Asetoklastik_metanojenler	94695,2905377	Methanosarcinales (94695) plus Methanotrichales (2905377). MEASURED on 2026-08-10: NCBI has TAKEN Methanothrix OUT of Methanosarcinales and moved it under its own order Methanotrichales (the lineage: Methanomicrobia; Methanotrichales; Methanotrichaceae; Methanothrix). With 94695 alone, the target's own Methanothrix members would have counted as OFF target. The old reasoning, that 94695 covers Methanothrix, IS NO LONGER TRUE; it had been written from memory and came out once the lineage was pulled. The order Methanosarcinales was CONFIRMED on 2026-08-10: 2206 was the FAMILY Methanosarcinaceae, and because the member set holds Methanothrix 2223 which sits under Methanotrichaceae, excluding by family would have been incomplete.
Metanojen_universal	2158,2182,2191,94695,2905377,68985,570264,1235850,2202723	Methanotrichales (2905377) WAS ADDED, because Methanothrix sits there. EVERY methanogen order is listed (Methanobacteriales, Methanococcales, Methanomicrobiales, Methanosarcinales, Methanopyrales, Methanocellales, Methanomassiliicoccales, Methanonatronarchaeales). The methanogens are not one taxon but spread across several orders; excluding Archaea instead would have HIDDEN the primer catching a non-methanogen archaeon. Every product that remains is off target.
Mantar_universal (F1)	4751	the kingdom Fungi. Every product that remains is outside the fungi; the plant product warning is measured in this layer.
Mantar_universal (F2)	4751	the kingdom Fungi. Every product that remains is outside the fungi; the plant product warning is measured in this layer.
Bakteri_universal	2	the domain Bacteria. Every product that remains is outside the bacteria, and chloroplast and mitochondrial products show up exactly here.
Arke_universal	2157	the domain Archaea. Every product that remains is outside the archaea.
